-0.5139,-0.3307,-0.3397,0.1951,-1.0873,0.8559,-0.0417,1.5561,-0.8555
11.9055,-1.8083,0.7380,-0.5006,-1.0630,0.3331,0.2532,-0.3542,-0.0035
-1.0242,-0.5652,1.6146,-0.3913,0.3831,-0.4819,-0.2826,0.4082,1.0871
-1.3729,0.7358,-0.3922,-0.9761,0.1057,0.4560,-0.0295,-0.9443,-0.5678
-1.1916,-0.3769,1.1687,0.1458,0.4637,-0.3884,0.2898,-0.8637,1.2770
1.3518,0.3828,-3.8453,-3.0920,2.0665,0.8271,0.6547,0.2686,0.8036
-1.1210,1.8451,0.3422,-1.5888,-0.6015,0.4280,-0.0999,0.1636,-0.4388
-1.4663,0.0666,-0.4635,0.1752,-0.9811,-0.1207,0.8854,-1.1973,-0.4602
-1.4587,-0.1095,0.2331,-0.9595,-0.5300,-0.3886,0.1739,-0.3170,-0.4771
-1.4003,-1.3248,-0.6190,1.4948,-0.0659,0.4537,0.1597,-0.4158,0.3860
0.3497,-1.5448,-0.0414,1.1554,2.2025,-2.2766,1.9247,1.4851,-1.0566
-1.2939,-0.8085,0.0156,-0.1691,-0.3932,-0.4658,0.4235,-0.8433,0.0258
-1.2148,1.4593,0.8665,-1.4606,-0.8842,-0.0971,0.1388,0.6377,-0.0144
-0.2379,-1.2553,-0.5055,0.4914,-0.1977,0.4752,-0.1743,0.3398,-0.3260
-0.8742,1.3841,1.0400,-0.6892,-0.2258,-0.0063,0.1487,0.0937,-0.3538
-0.3084,-0.0337,1.7797,-0.4122,0.6505,-0.4969,-0.8538,1.1671,1.6782
-1.3353,-1.0737,-0.5934,1.6467,-0.1788,0.5103,0.4780,-0.7660,0.2912
-1.2340,-1.4336,-0.4930,1.0343,-0.2287,0.4419,0.3906,-0.6784,0.0975
0.1970,-0.8932,0.2756,1.0681,2.6155,1.5414,-2.3107,-0.6482,-0.8053
0.1078,-0.5632,2.1859,-1.3653,0.6201,-0.4138,-0.9059,0.0523,-1.2134
0.8607,0.5547,-2.8713,0.5502,-1.2151,-2.9586,-2.3279,-0.0740,0.0413
3.3699,5.8918,0.2799,2.3978,0.9609,0.0118,0.5324,-0.3801,0.0665
-0.2364,-0.5488,0.2230,0.4652,-0.5217,0.1414,0.3025,-0.1216,1.0756
-0.6794,0.2437,-0.9361,1.4690,-1.2702,1.6809,-0.2019,2.1673,0.1217
-1.1790,0.1063,0.3377,-0.6841,-0.6243,-0.0618,0.4724,-0.7357,-0.3791
