0.3458,0.4008,0.2534
0.2953,0.4478,0.2569
0.3560,0.4334,0.2106
0.3458,0.4008,0.2534
0.2371,0.5359,0.2270
0.3777,0.3779,0.2445
0.3458,0.4008,0.2534
0.2347,0.5371,0.2282
0.2565,0.5105,0.2330
0.3458,0.4008,0.2534
0.3180,0.3947,0.2873
0.3242,0.4609,0.2149
0.3458,0.4008,0.2534
0.4287,0.3532,0.2181
0.3249,0.4685,0.2066
0.3458,0.4008,0.2534
0.3148,0.3697,0.3155
0.2684,0.5124,0.2192
0.3458,0.4008,0.2534
0.2621,0.5087,0.2293
0.2961,0.4431,0.2608
0.3458,0.4008,0.2534
0.3699,0.4106,0.2195
0.3563,0.4032,0.2404
0.3458,0.4008,0.2534
0.2685,0.4978,0.2337
0.3620,0.3898,0.2482
0.3458,0.4008,0.2534
0.2805,0.4946,0.2250
0.3479,0.4547,0.1973
0.3458,0.4008,0.2534
0.2619,0.4695,0.2686
0.3343,0.4208,0.2449
0.3458,0.4008,0.2534
0.2355,0.4760,0.2885
0.3083,0.4288,0.2628
0.3458,0.4008,0.2534
0.3463,0.4340,0.2197
0.2396,0.5313,0.2291
0.3458,0.4008,0.2534
0.2293,0.5057,0.2649
0.3150,0.4516,0.2335
0.3458,0.4008,0.2534
0.2484,0.5013,0.2503
0.3118,0.4736,0.2146
0.3458,0.4008,0.2534
0.2085,0.5124,0.2791
0.3631,0.4223,0.2147
0.3458,0.4008,0.2534
0.2839,0.4767,0.2394
0.2680,0.5048,0.2273
0.3458,0.4008,0.2534
0.2517,0.4316,0.3167
0.3201,0.4898,0.1901
0.3458,0.4008,0.2534
0.3703,0.3910,0.2387
0.3164,0.4304,0.2531
0.3458,0.4008,0.2534
0.3696,0.4033,0.2271
0.4083,0.3182,0.2735
0.3458,0.4008,0.2534
0.2912,0.4497,0.2591
0.2795,0.4742,0.2462
0.3458,0.4008,0.2534
0.2357,0.5283,0.2359
0.3552,0.3943,0.2505
0.3458,0.4008,0.2534
0.2828,0.4643,0.2529
0.3092,0.3926,0.2983
0.3458,0.4008,0.2534
0.4108,0.3884,0.2009
0.3562,0.3947,0.2491
0.3458,0.4008,0.2534
0.3693,0.4054,0.2252
0.2582,0.5042,0.2377
0.3458,0.4008,0.2534
0.2949,0.4485,0.2566
0.3377,0.4244,0.2379
0.3458,0.4008,0.2534
0.2804,0.4330,0.2866
0.2633,0.5730,0.1637
0.3458,0.4008,0.2534
0.3237,0.4008,0.2755
0.3512,0.3595,0.2893
0.3458,0.4008,0.2534
0.2720,0.4678,0.2602
0.3372,0.4139,0.2489
0.3458,0.4008,0.2534
0.2467,0.5222,0.2311
0.3533,0.4551,0.1916
0.3458,0.4008,0.2534
0.2986,0.4316,0.2698
0.3064,0.4862,0.2074
0.3458,0.4008,0.2534
0.2558,0.4599,0.2843
0.3695,0.4361,0.1944
0.3458,0.4008,0.2534
0.3073,0.4548,0.2379
0.3542,0.4169,0.2289
0.3458,0.4008,0.2534
0.3597,0.3905,0.2498
0.3873,0.3730,0.2397
0.3458,0.4008,0.2534
0.3921,0.4063,0.2016
0.3928,0.3702,0.2370
0.3458,0.4008,0.2534
0.3534,0.4224,0.2242
0.3553,0.4356,0.2092
0.3458,0.4008,0.2534
0.3204,0.4055,0.2741
0.3224,0.4308,0.2468
0.3458,0.4008,0.2534
0.2656,0.4690,0.2654
0.3169,0.3887,0.2944
0.3458,0.4008,0.2534
0.3369,0.4572,0.2059
0.2999,0.5005,0.1997
0.3458,0.4008,0.2534
0.2442,0.4695,0.2863
0.2782,0.5526,0.1692
0.3458,0.4008,0.2534
0.2835,0.4935,0.2231
0.3068,0.4485,0.2447
0.3458,0.4008,0.2534
0.2988,0.4731,0.2281
0.3786,0.4283,0.1931
0.3458,0.4008,0.2534
0.2477,0.4851,0.2672
0.3885,0.3313,0.2802
0.3458,0.4008,0.2534
0.3176,0.4381,0.2443
0.3716,0.4050,0.2234
0.3458,0.4008,0.2534
0.3057,0.4178,0.2765
0.3303,0.4682,0.2015
0.3458,0.4008,0.2534
0.3432,0.4240,0.2328
0.3070,0.3927,0.3003
0.3458,0.4008,0.2534
0.2571,0.5045,0.2384
0.3115,0.4487,0.2399
0.3458,0.4008,0.2534
0.2380,0.5322,0.2299
0.3621,0.4203,0.2177
0.3458,0.4008,0.2534
0.3122,0.4305,0.2573
0.4269,0.3385,0.2346
0.3458,0.4008,0.2534
0.2772,0.5088,0.2141
0.3056,0.5162,0.1782
0.3458,0.4008,0.2534
0.2376,0.5504,0.2121
0.3547,0.3562,0.2890
0.3458,0.4008,0.2534
0.2893,0.3999,0.3107
0.2306,0.5707,0.1987
0.3458,0.4008,0.2534
0.2384,0.5591,0.2025
0.3360,0.4362,0.2278
0.3458,0.4008,0.2534
0.3209,0.4379,0.2412
0.3250,0.3946,0.2804
0.3458,0.4008,0.2534
0.3511,0.4342,0.2148
0.3741,0.4060,0.2199
0.3458,0.4008,0.2534
0.2569,0.5235,0.2196
0.2906,0.4400,0.2694
0.3458,0.4008,0.2534
0.3058,0.4752,0.2191
0.3348,0.4092,0.2560
0.3458,0.4008,0.2534
0.2835,0.4792,0.2373
0.3908,0.4211,0.1881
0.3458,0.4008,0.2534
0.3012,0.5391,0.1597
0.2627,0.5374,0.1999
0.3458,0.4008,0.2534
0.3196,0.4938,0.1866
0.4747,0.3407,0.1846
0.3458,0.4008,0.2534
0.2872,0.4319,0.2810
0.3090,0.4605,0.2305
0.3458,0.4008,0.2534
0.2264,0.5408,0.2329
0.3002,0.5319,0.1679
0.3458,0.4008,0.2534
0.2980,0.4720,0.2300
0.2561,0.3887,0.3551
0.3458,0.4008,0.2534
0.2392,0.4354,0.3254
0.3623,0.3538,0.2838
0.3458,0.4008,0.2534
0.2277,0.4531,0.3192
0.3126,0.4474,0.2400
0.3458,0.4008,0.2534
0.3627,0.4168,0.2205
0.3479,0.3427,0.3094
0.3458,0.4008,0.2534
0.3720,0.4186,0.2094
0.3143,0.4221,0.2636
0.3458,0.4008,0.2534
0.3209,0.4592,0.2198
0.3054,0.4184,0.2762
0.3458,0.4008,0.2534
0.2802,0.4393,0.2805
0.3537,0.4559,0.1904
0.3458,0.4008,0.2534
0.2373,0.5311,0.2315
0.3885,0.3534,0.2581
0.3458,0.4008,0.2534
0.2394,0.4730,0.2875
0.3683,0.3772,0.2545
0.3458,0.4008,0.2534
