0.0396, 0.0901, 0.0498, 0.0158, 0.0271, 0.2355, 0.0635, 0.4786
0.0565, 0.1056, 0.0614, 0.0192, 0.0322, 0.2242, 0.0606, 0.4403
0.0360, 0.0674, 0.0431, 0.0124, 0.0271, 0.1905, 0.0498, 0.5737
0.0627, 0.1021, 0.0443, 0.0176, 0.0355, 0.2445, 0.0523, 0.4410
0.0512, 0.0729, 0.0492, 0.0134, 0.0391, 0.1683, 0.0533, 0.5527
0.1554, 0.1455, 0.0668, 0.0238, 0.0359, 0.2491, 0.0648, 0.2589
0.0269, 0.0702, 0.0373, 0.0154, 0.0261, 0.2699, 0.0623, 0.4918
0.0374, 0.0783, 0.0571, 0.0232, 0.0242, 0.3094, 0.0638, 0.4066
0.0472, 0.1064, 0.0653, 0.0185, 0.0263, 0.2350, 0.0727, 0.4285
0.0729, 0.1229, 0.0502, 0.0199, 0.0339, 0.2602, 0.0614, 0.3786
0.0463, 0.0955, 0.0492, 0.0165, 0.0286, 0.2428, 0.0610, 0.4601
0.0634, 0.1213, 0.0526, 0.0163, 0.0386, 0.1939, 0.0617, 0.4522
0.0939, 0.1040, 0.0446, 0.0158, 0.0368, 0.2113, 0.0435, 0.4499
0.1509, 0.1427, 0.0747, 0.0228, 0.0418, 0.2055, 0.0756, 0.2860
0.0846, 0.1411, 0.0627, 0.0188, 0.0438, 0.2077, 0.0717, 0.3697
0.0292, 0.0657, 0.0411, 0.0130, 0.0262, 0.2119, 0.0512, 0.5616
0.0813, 0.1007, 0.0537, 0.0178, 0.0337, 0.2163, 0.0532, 0.4433
0.0485, 0.0795, 0.0562, 0.0183, 0.0239, 0.2593, 0.0579, 0.4564
0.0470, 0.0774, 0.0497, 0.0130, 0.0365, 0.1738, 0.0583, 0.5442
0.0482, 0.0826, 0.0432, 0.0146, 0.0356, 0.2052, 0.0511, 0.5195
0.0742, 0.1459, 0.0645, 0.0211, 0.0307, 0.2473, 0.0749, 0.3414
0.0189, 0.0628, 0.0439, 0.0111, 0.0203, 0.2022, 0.0557, 0.5851
0.0779, 0.0804, 0.0424, 0.0148, 0.0449, 0.1982, 0.0492, 0.4922
