-2.4202, -2.6618, -2.2373, -2.2871, -2.1590, -2.1944, -2.4290, -2.4864, -2.2011, -2.5354, -2.3365, -2.6473, -1.9160, -2.2896, -2.5425, -2.1174
-2.3251, -2.4451, -2.2318, -2.2592, -2.0402, -2.2893, -2.5509, -2.4482, -2.1862, -2.3850, -2.2956, -2.2497, -2.1277, -2.2475, -2.1699, -2.2529
-2.0496, -2.5819, -2.3600, -2.5795, -2.1746, -2.4026, -2.8338, -2.3390, -2.1207, -2.2490, -2.4107, -2.8669, -1.7307, -2.3196, -2.4194, -2.2007
-2.3225, -2.2902, -2.2806, -2.2770, -2.2267, -2.2998, -2.6865, -2.2982, -2.2810, -2.5332, -2.5535, -2.4603, -2.1045, -2.4114, -2.1966, -2.4824
-2.0470, -2.2671, -2.5916, -2.1404, -1.8925, -2.3748, -2.3845, -2.6301, -2.3801, -2.3997, -2.4426, -2.5288, -1.9590, -2.2726, -2.2392, -2.1628
-2.1797, -2.3980, -2.3801, -2.3940, -2.2184, -2.3723, -2.4514, -2.5225, -2.0327, -2.7559, -2.5570, -2.3715, -2.0964, -2.3335, -2.2053, -2.4152
-2.4021, -2.3397, -2.5386, -2.3672, -2.1479, -2.4625, -2.4723, -2.3113, -2.2362, -2.7415, -2.6652, -2.5417, -2.0512, -2.2984, -2.2621, -2.1493
-2.3282, -2.4768, -2.3969, -2.2250, -2.3918, -2.4919, -2.5957, -2.2266, -1.9986, -2.6179, -2.6195, -2.3412, -2.1186, -2.3039, -1.9799, -2.0363
-2.2894, -2.8222, -2.5504, -2.3034, -2.2954, -2.5724, -2.4566, -2.2112, -2.3511, -2.3911, -2.4629, -2.4906, -1.8539, -2.2628, -2.3585, -2.5181
-2.0153, -2.5496, -2.5098, -2.5169, -2.4779, -2.5316, -2.2171, -2.4693, -2.2256, -2.7435, -2.6095, -2.5589, -2.1432, -2.2951, -2.6094, -1.9780
-2.1573, -2.3459, -2.3292, -2.2737, -2.2010, -2.4564, -2.3395, -2.3594, -2.0445, -2.5751, -2.3510, -2.3607, -1.9824, -2.2961, -2.3089, -2.1468
-2.1917, -2.5615, -2.1787, -2.6078, -2.0422, -2.4019, -2.4649, -2.5874, -2.1581, -2.3046, -2.3633, -2.2987, -1.9469, -2.1689, -2.3271, -2.2270
-2.0874, -2.7925, -2.4131, -2.6111, -1.9481, -2.6879, -2.5397, -2.2546, -2.2750, -2.4660, -2.4313, -2.2768, -1.8069, -2.5966, -2.4495, -2.5383
-2.0030, -2.5592, -2.1464, -2.2653, -2.4388, -2.2565, -2.5758, -2.7613, -2.4579, -2.5199, -2.4085, -2.5666, -2.3027, -2.4896, -2.5105, -2.0618
