0.6772,0.7238,0.0322,0.0921,0.6585
0.0509,0.2660,0.4518,0.9290,0.1794
0.6740,0.2164,0.4790,0.3278,0.0566
0.3581,0.2654,0.0986,0.0550,0.6981
0.8133,0.7142,0.9559,0.0200,0.2353
0.4652,0.7427,0.6625,0.1758,0.3804
0.3820,0.4675,0.2306,0.7500,0.6223
0.2061,0.7262,0.6793,0.6565,0.3595
0.9751,0.5150,0.4825,0.9047,0.4678
0.7364,0.9893,0.0192,0.8111,0.2404
0.4411,0.0810,0.3042,0.8762,0.4524
0.3778,0.4271,0.2859,0.8691,0.2742
0.1669,0.0397,0.3776,0.7919,0.6432
0.9506,0.8212,0.0901,0.2465,0.4288
0.6020,0.1634,0.6496,0.1205,0.2327
0.0161,0.1711,0.3121,0.1791,0.1811
0.9494,0.3687,0.1118,0.1630,0.5761
0.6318,0.4732,0.2855,0.8806,0.4882
0.8493,0.3711,0.7963,0.3496,0.1105
0.9095,0.9478,0.2721,0.4994,0.0736
0.9520,0.3481,0.8768,0.1963,0.3723
0.9358,0.0434,0.4647,0.9009,0.8099
0.3953,0.3853,0.4867,0.6703,0.7905
0.7811,0.9268,0.4971,0.1944,0.5401
0.5562,0.9683,0.4170,0.8269,0.5482
0.6376,0.4012,0.4247,0.6802,0.1845
0.1550,0.2856,0.2518,0.7497,0.4124
0.7010,0.1646,0.9754,0.4848,0.9047
0.9155,0.6997,0.8620,0.4970,0.7829
0.1364,0.5125,0.5502,0.2474,0.9688
0.0994,0.1026,0.9066,0.2080,0.8529
0.9335,0.5477,0.7738,0.8941,0.8937
0.2433,0.4264,0.8354,0.3737,0.5906
0.7259,0.6297,0.9891,0.7352,0.4927
0.5825,0.4277,0.6683,0.6631,0.0696
0.5168,0.7478,0.5526,0.7033,0.6214
0.3343,0.3165,0.5154,0.4312,0.4892
0.2478,0.3836,0.3985,0.4747,0.3234
0.0119,0.7605,0.5929,0.4818,0.3035
0.4795,0.9855,0.7396,0.9347,0.8297
0.9790,0.4943,0.5335,0.0649,0.9696
